scenario,center_t1,k_t1,center_trbc,k_trbc,scale_ncl,scale_nco,center_roa,k_roa,center_eff,k_eff,center_nim,k_nim,critical_g,watch_g_low,watch_g_high,watch_mhi,diverging_g,diverging_mhi,g_agg,w_t1,w_trbc,w_ncl,w_nco,test_a_hi_n,test_a_lo_n,test_a_hi_rate,test_a_lo_rate,test_a_lift,test_b_decile1,test_b_decile10,test_b_spread,test_b_monotonic,test_c_run1,test_c_run5,test_c_run10,mhi_decile1,mhi_decile10,mhi_spread,mhi_monotonic,g_decile1,g_decile10,g_spread,g_monotonic,texas_decile1,texas_decile10,texas_spread,texas_monotonic,latest_period,banks_latest,latest_critical,latest_watch,latest_diverging,latest_stable,latest_median_g,latest_median_mhi,delta_test_a_hi_rate,delta_test_a_lo_rate,delta_test_a_lift,delta_test_b_decile1,delta_test_b_decile10,delta_test_b_spread,delta_test_b_monotonic,delta_test_c_run1,delta_test_c_run5,delta_test_c_run10,delta_mhi_spread,delta_g_spread,delta_texas_spread,delta_latest_critical,delta_latest_watch,delta_latest_diverging,delta_latest_stable,delta_latest_median_g,delta_latest_median_mhi
default,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,222381,29209,85.18173764845018,47.52987093019275,1.7921727112105317,6.7293239730508745,88.11669304846882,81.38736907541795,1,74.17307902702308,88.9791697444231,92.1897546897547,6.7293239730508745,88.11669304846882,81.38736907541795,1,5.258138857248815,86.7042273421701,81.44608848492129,1,8.391329756149393,51.9495585487456,43.55822879259621,0,2025Q4,4408,13,483,334,3578,0.8003129858881597,0.9239291851515785,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
g_agg_harmonic,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,harmonic,1.0,1.0,1.0,1.0,30767,19405,75.3632138330029,33.96031950528214,2.2191550294831885,1.855338407007681,30.24425604893961,28.38891764193193,0,65.9381712898104,82.37942122186496,85.47717842323651,1.855338407007681,30.24425604893961,28.38891764193193,0,0.49888303179606724,33.74807933452253,33.24919630272646,0,2.0914129876569447,16.176509657022926,14.085096669365981,0,2025Q4,4408,6,47,74,4281,0.925248678856256,0.8199811679935758,-9.818523815447278,-13.569551424910607,0.42698231827265687,-4.873985566043194,-57.87243699952921,-52.998451433486025,-1,-8.23490773721268,-6.599748522558144,-6.712576266518184,-52.998451433486025,-48.19689218219483,-29.47313212323023,-7,-436,-260,703,0.12493569296809626,-0.10394801715800273
g_agg_weighted_min_asset_quality_heavier,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,weighted_min,1.0,1.0,1.25,1.25,218824,29218,85.29457463532336,47.487849955506874,1.796134689509822,6.56776851467117,88.11165932763896,81.54389081296779,1,74.42238368292273,89.00735846223156,92.18550301259813,6.56776851467117,88.11165932763896,81.54389081296779,1,5.312883543923781,86.5408560654898,81.22797252156603,1,7.9264729320512135,51.0825961053107,43.15612317325949,0,2025Q4,4408,13,483,330,3582,0.8046634498765559,0.9184637031264091,0.11283698687317667,-0.042020974685875956,0.003961978299290347,-0.16155545837970475,-0.005033720829857202,0.15652173754983778,0,0.24930465589964967,0.02818871780846166,-0.004251677156560163,0.15652173754983778,-0.21811596335525962,-0.40210561933672295,0,0,-4,4,0.004350463988396225,-0.005465482025169388
k_eff_x0.75,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.06,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,225206,26384,85.33609228883778,49.1358399029715,1.7367382435580807,6.740818022669802,88.56503630077023,81.82421827810043,1,74.29973643551759,89.14456863174813,92.30497705612424,6.740818022669802,88.56503630077023,81.82421827810043,1,5.3331920567225595,87.24291101122404,81.90971895450147,1,8.484301120969027,52.540226526039866,44.05592540507084,0,2025Q4,4408,13,490,299,3606,0.8003129858881597,0.9127689031066999,0.15435464038759505,1.6059689727787472,-0.05543446765245097,0.011494049618927527,0.44834325230141303,0.43684920268248106,0,0.12665740849450913,0.1653988873250256,0.11522236636955085,0.43684920268248106,0.46363046958018117,0.49769661247462693,0,7,-35,28,0.0,-0.011160282044878622
k_eff_x1.25,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.1,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,219960,31630,85.05910165484633,46.61397407524502,1.8247554159948383,6.7063358738130185,87.69841620756435,80.99208033375133,1,74.11607616469426,88.88473892582356,92.24692265294874,6.7063358738130185,87.69841620756435,80.99208033375133,1,5.187500551861761,86.28652672665777,81.09902617479601,1,8.307212807026865,51.49172444940358,43.18451164237671,0,2025Q4,4408,13,478,358,3559,0.8003129858881597,0.9327276918917056,-0.12263599360385058,-0.9158968549477322,0.03258270478430658,-0.02298809923785594,-0.41827684090446837,-0.39528874166661865,0,-0.05700286232881524,-0.09443081859954816,0.057167963194046933,-0.39528874166661865,-0.3470623101252812,-0.37371715021949825,0,-5,24,-19,0.0,0.008798506740127054
k_nim_x0.75,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.125,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,220491,31099,85.07875604899974,47.71857616000514,1.78292738164949,6.559565701755937,88.11669304846882,81.55712734671287,1,74.15013131018384,88.83350691861331,92.24706744868035,6.559565701755937,88.11669304846882,81.55712734671287,1,5.198096297669819,86.52407739383075,81.32598109616093,1,8.320494430572527,51.53777352709369,43.21727909652117,0,2025Q4,4408,13,478,298,3619,0.8003129858881597,0.907013799261682,-0.1029815994504446,0.1887052298123919,-0.009245329561041737,-0.16975827129493748,0.0,0.16975827129492416,0,-0.022947716839240684,-0.14566282580979362,0.057312758925661456,0.16975827129492416,-0.12010738876035987,-0.3409496960750431,0,-5,-36,41,0.0,-0.016915385889896495
k_nim_x1.25,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.875,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,223563,28027,85.24621695003198,47.59696007421415,1.7910012911983104,6.914997082279712,88.11580874225126,81.20081165997155,1,74.23739327154638,89.06456831887041,92.24737123507396,6.914997082279712,88.11580874225126,81.20081165997155,1,5.2872771582209745,86.80401628414239,81.51673912592142,1,8.436487276204643,52.21965410058181,43.78316682437717,0,2025Q4,4408,13,487,360,3548,0.8003129858881597,0.9364549227098466,0.06447930158179815,0.06708914402140209,-0.0011714200122212581,0.18567310922883795,-0.0008843062175571959,-0.18655741544640136,0,0.06431424452330248,0.0853985744473107,0.05761654531926297,-0.18655741544640136,0.07065064100012819,0.22493803178095817,0,4,26,-30,0.0,0.012525737558268135
k_roa_x0.75,5.0,1.5,10.0,1.0,0.5,1.0,0.0,1.5,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,221363,30227,85.1940026110958,46.36252357164125,1.837561807425141,6.343831231985288,87.94071611117498,81.59688487918969,1,74.202488895415,88.88394512421208,92.46884594545783,6.343831231985288,87.94071611117498,81.59688487918969,1,5.219287789285935,86.5947244323952,81.37543664310927,1,8.354141210221536,51.832664736147635,43.4785235259261,0,2025Q4,4408,13,481,297,3617,0.8003129858881597,0.9039083635180472,0.012264962645616606,-1.1673473585515026,0.04538909621460929,-0.38549274106558684,-0.17597693729383934,0.20951580377173684,0,0.029409868391923055,-0.0952246202110274,0.2790912557031362,0.20951580377173684,-0.07065184181202255,-0.07970526667011057,0,-2,-37,39,0.0,-0.02002082163353136
k_roa_x1.25,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.5,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,223097,28493,85.17147249850962,48.62246867651704,1.7516895957124545,7.0767979346077,88.21661965105277,81.13982171644507,1,74.18740131758045,88.92570502908475,92.20498015156983,7.0767979346077,88.21661965105277,81.13982171644507,1,5.285511200586298,86.77310820477044,81.48759700418414,1,8.430289185216667,52.03722890819408,43.606939722977415,0,2025Q4,4408,13,487,357,3551,0.8003129858881597,0.9352840432061797,-0.010265149940565266,1.0925977463242873,-0.04048311549807715,0.3474739615568252,0.09992660258394892,-0.24754735897288072,0,0.014322290557373663,-0.05346471533835029,0.015225461815134622,-0.24754735897288072,0.041508519262848154,0.048710930381204776,0,4,23,-27,0.0,0.011354858054601236
k_t1_x0.75,5.0,1.125,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,222437,29314,85.18322041746652,47.44490687043733,1.7954133759833288,6.749480571150701,88.11269199819608,81.36321142704539,1,74.18419805301345,88.97254207263065,92.19116321009919,6.749480571150701,88.11269199819608,81.36321142704539,1,5.299638861663709,86.67773470270843,81.37809584104473,1,8.377162691034018,51.9256484507142,43.54848575968018,0,2025Q4,4408,13,483,334,3578,0.7999775109253012,0.9236943901917406,0.0014827690163343732,-0.08496405975542132,0.003240664772797164,0.020156598099826617,-0.004001050272734119,-0.024157648372565177,0,0.011119025990367959,-0.006627671792458045,0.0014085203444977878,-0.024157648372565177,-0.06799264387656478,-0.009743032916027516,0,0,0,0,-0.0003354749628584619,-0.00023479495983791399
k_t1_x1.25,5.0,1.875,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,222279,29099,85.18753458491356,47.561771882195266,1.791092535322543,6.724673050905908,88.1256853797446,81.40101232883869,1,74.19707829512502,88.97102306327616,92.22162064609276,6.724673050905908,88.1256853797446,81.40101232883869,1,5.229883535093993,86.70146064042106,81.47157710532707,1,8.394871522428234,51.99383650806302,43.59896498563479,0,2025Q4,4408,13,484,333,3578,0.8003129858881597,0.9239291851515785,0.0057969364633834175,0.03190095200251619,-0.001080175887988588,-0.0046509221449664295,0.008992331275777588,0.013643253420738688,0,0.02399926810194586,-0.008146681146939727,0.031865956338066326,0.013643253420738688,0.02548862040578115,0.04073619303857612,0,1,-1,0,0.0,0.0
k_trbc_x0.75,5.0,1.5,10.0,0.75,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,222941,29748,85.20236295701554,47.44520640043028,1.7958055074715165,6.693477108007778,87.87005524861878,81.176578140611,1,74.169768630027,89.05421331761933,92.20545977011494,6.693477108007778,87.87005524861878,81.176578140611,1,5.198096297669819,86.64417735939031,81.44608106172049,1,8.366537392197488,51.79812792788005,43.43159053568257,0,2025Q4,4408,13,483,337,3575,0.7938423086879907,0.9283060553367845,0.02062530856535716,-0.08466452976247041,0.003632796260984783,-0.03584686504309609,-0.24663779985003487,-0.2107909348069512,0,-0.003310396996084819,0.07504357319622557,0.015705080360248758,-0.2107909348069512,-7.423200798939433e-06,-0.12663825691364394,0,0,3,-3,-0.006470677200169028,0.004376870185205939
k_trbc_x1.25,5.0,1.5,10.0,1.25,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,221376,28829,85.14111737496386,47.63952964029276,1.7871947522956408,6.797284979778941,88.22982768234075,81.43254270256182,1,74.21156014695718,88.98871398871398,92.12929145361578,6.797284979778941,88.22982768234075,81.43254270256182,1,5.29875588284637,86.72253768644525,81.42378180359889,1,8.417893003240716,52.095675814493056,43.67778281125234,0,2025Q4,4408,13,483,333,3579,0.8027239042518173,0.9219726565127241,-0.040620273486325686,0.10965871010000683,-0.004977958914890834,0.06796100672806649,0.11313463387193678,0.045173627143867634,0,0.03848111993410441,0.009544244290879078,-0.06046323613891502,0.045173627143867634,-0.022306681322405097,0.11955401865613169,0,0,-1,1,0.002410918363657588,-0.0019565286388544267
scale_ncl_x0.75,5.0,1.5,10.0,1.0,0.375,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,163331,28548,82.5464853579541,46.693288496567185,1.7678447591889523,5.600254637406942,79.52388953246731,73.92363489506036,1,71.6058378044203,88.53039134054954,91.10803324099723,5.600254637406942,79.52388953246731,73.92363489506036,1,3.8321280672476665,79.9318256077853,76.09969754053763,1,7.090616090244205,43.76167831176997,36.671062221525766,0,2025Q4,4408,12,327,295,3774,0.8330562088585423,0.8969256018052683,-2.6352522904960836,-0.8365824336255656,-0.024327952021579335,-1.1290693356439325,-8.59280351600151,-7.463734180357591,0,-2.5672412226027745,-0.44877840387356116,-1.0817214487574631,-7.463734180357591,-5.346390944383657,-6.887166571070445,-1,-156,-39,196,0.03274322297038257,-0.027003583346310256
scale_ncl_x1.25,5.0,1.5,10.0,1.0,0.625,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,278377,29389,86.96372185920532,49.30756405457824,1.7636994146160963,8.143092076179025,92.392313610357,84.24922153417796,1,76.25915278196922,90.37407952871871,93.02451577949343,8.143092076179025,92.392313610357,84.24922153417796,1,6.695628371875359,90.34873144411377,83.65310307223841,1,9.805379942977563,58.68512172011017,48.87974177713261,0,2025Q4,4408,17,638,380,3373,0.7695162312231612,0.9524340501437092,1.781984210755141,1.7776931243854932,-0.028473296594435427,1.4137681031281506,4.275620561888175,2.861852458760012,0,2.086073754946142,1.3949097842956064,0.8347610897387341,2.861852458760012,2.2070145873171185,5.3215129845363975,4,155,46,-205,-0.030796754664998538,0.028504864992130674
scale_nco_x0.75,5.0,1.5,10.0,1.0,0.5,0.75,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,211972,29582,85.0334006378201,46.96775065918464,1.810463550934212,6.312001556117488,87.3641484573278,81.0521469012103,1,73.96783096982963,88.91898166060513,92.02360555872835,6.312001556117488,87.3641484573278,81.0521469012103,1,4.817532427397066,86.05074223544892,81.23320980805185,1,7.72636313729657,50.46359023405329,42.737227096756726,0,2025Q4,4408,11,455,333,3609,0.8060994913208376,0.9177990265372604,-0.14833701063008675,-0.5621202710081121,0.018290839723680286,-0.4173224169333869,-0.7525445911410173,-0.3352221742076438,0,-0.20524805719344386,-0.06018808381797669,-0.16614913102634432,-0.3352221742076438,-0.21287867686943684,-0.8210016958394846,-2,-28,-1,31,0.005786505432677891,-0.006130158614318093
scale_nco_x1.25,5.0,1.5,10.0,1.0,0.5,1.25,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,233793,28773,85.37081948561334,47.968581656414,1.7797236553105003,7.098017718519567,88.80468328572817,81.7066655672086,1,74.68006676867437,89.44879666878397,92.5900631722725,7.098017718519567,88.80468328572817,81.7066655672086,1,5.665192092041712,87.2958962901474,81.63070419810569,1,8.97483575058882,53.57190297813554,44.59706722754672,0,2025Q4,4408,15,509,353,3531,0.7938423086879907,0.9295872812407331,0.18908183716315818,0.4387107262212524,-0.012449055900031425,0.3686937454686925,0.6879902372593563,0.3192964917906522,0,0.5069877416512867,0.46962692436086684,0.4003084825178007,0.3192964917906522,0.1846157131843995,1.038838434950506,2,26,19,-47,-0.006470677200169028,0.005658096089154574
